rank,Team,Abry,total_points
69,El Salvador,SLV,1341
70,Canada,CAN,1340
71,Bulgaria,BUL,1339
72,Guinea,GUI,1331
76,Curaçao,CUW,1323
73,Cabo Verde,CPV,1330
75,South Africa,RSA,1325
68,Iraq,IRQ,1352
77,China PR,CHN,1322
73,United Arab Emirates,UAE,1330
67,Honduras,HON,1361
62,North Macedonia,MKD,1374
65,Saudi Arabia,KSA,1364
64,Montenegro,MNE,1368
63,Slovenia,SVN,1369
61,Congo DR,COD,1376
60,Burkina Faso,BFA,1392
59,Côte d'Ivoire,CIV,1397
58,Qatar,QAT,1397
57,Mali,MLI,1400
55,Bosnia and Herzegovina,BIH,1404
78,Panama,PAN,1321
66,Albania,ALB,1362
79,Syria,SYR,1304
104,Palestine,PLE,1196
81,Bolivia,BOL,1300
55,Cameroon,CMR,1404
103,Trinidad and Tobago,TRI,1201
102,Kenya,KEN,1205
101,Mauritania,MTN,1224
100,Madagascar,MAD,1238
99,Kyrgyz Republic,KGZ,1240
98,Bahrain,BHR,1240
97,Cyprus,CYP,1240
96,Luxembourg,LUX,1244
95,Jordan,JOR,1251
94,Congo,CGO,1255
93,Lebanon,LBN,1256
92,Vietnam,VIE,1258
91,Georgia,GEO,1259
90,Armenia,ARM,1273
89,Belarus,BLR,1276
88,Gabon,GAB,1278
87,Zambia,ZAM,1280
86,Uzbekistan,UZB,1280
85,Israel,ISR,1283
84,Uganda,UGA,1286
83,Haiti,HAI,1290
82,Benin,BEN,1293
80,Oman,OMA,1301
54,Finland,FIN,1410
3,Brazil,BRA,1742
52,Iceland,ISL,1415
24,Ukraine,UKR,1514
23,Austria,AUT,1523
22,Senegal,SEN,1542
21,Poland,POL,1549
20,USA,USA,1555
19,Chile,CHI,1569
18,Sweden,SWE,1569
17,Wales,WAL,1570
16,Netherlands,NED,1598
15,Colombia,COL,1600
25,Serbia,SRB,1512
14,Croatia,CRO,1605
12,Germany,GER,1609
11,Mexico,MEX,1629
10,Denmark,DEN,1631
9,Uruguay,URU,1639
8,Argentina,ARG,1641
7,Italy,ITA,1642
6,Spain,ESP,1648
5,Portugal,POR,1666
4,England,ENG,1686
105,India,IND,1184
13,Switzerland,SUI,1606
26,Tunisia,TUN,1512
27,Peru,PER,1511
28,Japan,JPN,1509
51,Greece,GRE,1418
50,Costa Rica,CRC,1423
49,Ghana,GHA,1425
48,Northern Ireland,NIR,1425
47,Republic of Ireland,IRL,1427
46,Egypt,EGY,1432
45,Jamaica,JAM,1432
44,Scotland,SCO,1441
43,Romania,ROU,1449
42,Norway,NOR,1452
41,Australia,AUS,1457
40,Czech Republic,CZE,1458
39,Korea Republic,KOR,1460
38,Russia,RUS,1462
37,Hungary,HUN,1468
